Date,EWJ,EWZ,FXI,EWY,EWT,EWH,EWC,EWG,EWU,EWA,EWW,EWL,EWP,EWQ,EIDO,ERUS,EWS,EWM,EZA,THD,ECH,EWI,TUR,EPOL,EPHE,EWD,EWN,EPU,ENZL,EIS,EWO,EIRL,EWK
06/07/2021,67.660004,38.330002,44.220001,92.32,64.419998,26.540001,37.34,34.41,32.830002,25.799999,47.650002,48.77,28.35,37.599998,20.33,242.839996,23.57,25.360001,48.330002,76.839996,27.52,32.330002,21.4,21.549999,30.77,46.73,48.02,28.43,1.1,69.75,24.09,57.959999,22.040001
07/07/2021,67.690002,38.740002,44.299999,91.580002,64.5,26.83,37.209999,34.75,33.049999,26.08,47.860001,49.139999,28.280001,37.720001,20.299999,247.600006,23.120001,25.33,49,76.209999,27.620001,32.34,21.540001,21.99,30.459999,47.209999,48.279999,28.540001,1.09,69.879997,24.01,58.189999,22.049999
08/07/2021,66.639999,38.130001,42.919998,89.540001,63.599998,26.459999,36.68,34.279999,32.52,25.68,47.220001,49.080002,27.809999,37.110001,20.02,250.490005,22.719999,24.77,48,74.339996,27.24,31.620001,21.35,21.620001,30.120001,46.700001,47.419998,28.549999,1.1,68.839996,23.700001,57.040001,21.889999
09/07/2021,68.43,38.619999,44.150002,90.209999,64.459999,26.51,37.259998,34.919998,33.169998,26.120001,47.849998,49.279999,28.26,37.91,20.33,252.190002,23.190001,25.08,48.869999,75.25,27.83,32.209999,21.51,21.83,29.969999,47.27,48.189999,29.1,1.09,69.629997,24.17,57.91,22.23
12/07/2021,68.629997,39.389999,44,90.900002,64.68,26.68,37.25,35.139999,33.200001,26.08,47.849998,49.630001,28.379999,38.029999,20.4,258.390015,23.290001,24.940001,48.68,74.769997,27.84,32.52,21.25,21.809999,30.200001,47.630001,48.630001,28.879999,1.09,69.68,24.110001,57.470001,22.27
13/07/2021,68.410004,39.43,44.5,90.669998,64.459999,26.799999,37.130001,34.860001,33.07,25.93,46.959999,49.439999,27.799999,37.73,20,256.609985,23.27,24.950001,46.959999,75.300003,27.43,32.049999,21.129999,21.6,29.75,47.529999,48.560001,28.790001,1.09,69.260002,23.92,56.810001,22.25
14/07/2021,68.75,40.279999,44.310001,91.279999,64.800003,26.639999,36.919998,35.009998,32.98,26.030001,47.880001,49.5,27.73,37.869999,19.969999,259.98999,23.209999,24.92,48.669998,75.610001,27.309999,32.139999,21.32,21.73,29.91,47.73,48.91,28.51,1.09,69.029999,24.09,56.950001,22.209999
15/07/2021,67.910004,39.82,44.740002,91.660004,64.660004,26.780001,36.759998,34.59,32.599998,25.780001,48.400002,49.169998,27.26,37.459999,20.120001,262.179993,23,25.110001,48.290001,74.849998,26.809999,31.73,21.290001,21.58,29.5,47.349998,48.400002,28.57,1.08,68.150002,23.860001,56.48,21.9
16/07/2021,67.220001,39.290001,44.400002,90.709999,64.440002,26.860001,36.330002,34.310001,32.310001,25.6,48.450001,49.119999,27.08,37.200001,20.24,263.970001,22.9,25.040001,47.990002,74.82,26.709999,31.51,21.32,21.540001,29.08,46.880001,47.860001,28.41,1.08,67.720001,23.66,55.93,21.85
19/07/2021,66.260002,37.830002,43.810001,88.610001,63.52,26.35,35.5,33.57,31.440001,25.059999,46.93,48.619999,26.51,36.34,19.889999,258.540009,22.559999,24.76,46.779999,73.809998,27.35,30.65,20.92,20.91,28.389999,46.130001,47.049999,27.84,1.09,67.160004,23.15,54.349998,21.43
20/07/2021,67.050003,38.169998,43.59,89.940002,63.689999,26.450001,36.07,33.73,31.610001,25.370001,46.869999,48.830002,26.74,36.689999,19.959999,260.369995,22.83,24.83,47.029999,73.510002,27.799999,30.91,21.09,21,28.48,46.259998,47.259998,27.99,1.06,68.099998,23.48,55.080002,21.68
21/07/2021,67.529999,38.73,43.720001,89.459999,63.779999,26.790001,36.75,34.23,32.240002,25.75,47.419998,49.389999,27.440001,37.389999,20.290001,260.899994,22.9,25,47.68,73.949997,28.209999,31.65,21.25,21.530001,28.52,47.209999,48.380001,28.67,1.05,69.190002,23.83,56.27,22.120001
22/07/2021,67.489998,38.66,43.900002,90.199997,63.75,26.959999,36.709999,34.310001,32.16,25.709999,47.810001,49.080002,27.450001,37.360001,20.559999,259.119995,23.190001,25.02,47.700001,73.879997,27.719999,31.700001,21.309999,21.41,28.809999,47.630001,48.880001,28.379999,1.06,69.330002,23.76,56.669998,22.110001
23/07/2021,67.870003,38.360001,42.779999,90.150002,63.720001,26.67,36.93,34.59,32.439999,25.889999,47.990002,49.59,27.719999,37.759998,20.209999,259.420013,23.18,24.92,47.150002,73.279999,26.98,32,21.23,21.440001,28.209999,48.130001,49.490002,28.07,1.06,69.790001,23.959999,57.189999,22.1
26/07/2021,67.629997,38.959999,40.490002,90.029999,63.290001,26.309999,36.919998,34.580002,32.619999,25.92,48.740002,49.549999,27.98,37.98,20.309999,266.779999,23.200001,24.93,46.619999,72.949997,26.68,32.349998,21.040001,21.469999,27.950001,48.689999,49.470001,28.299999,1.07,69.919998,24.370001,57.400002,22.219999
27/07/2021,67.260002,38.599998,39.16,89.129997,62.349998,25.52,36.799999,34.48,32.66,25.870001,48.919998,49.560001,27.889999,37.869999,20.1,264,23.120001,24.860001,46.599998,73.230003,26.48,32.189999,21.17,21.25,27.99,48.5,49.009998,28.209999,1.07,69.589996,24.32,57.490002,22.16
28/07/2021,67.620003,39.610001,41.52,89.959999,63,25.75,37.060001,34.549999,32.68,25.799999,49.310001,49.759998,27.889999,38.16,20.07,264.929993,23.200001,24.82,47.580002,73.540001,26.809999,32.380001,21.34,21.52,28.25,48.369999,49.610001,28.799999,1.07,70.610001,24.450001,58.080002,22.26
29/07/2021,67.849998,39.650002,40.939999,90.610001,64.059998,25.879999,37.439999,34.810001,33.07,26.02,49.740002,50.029999,28.08,38.43,20.190001,258.01001,23.559999,24.889999,48.619999,73.449997,27.559999,32.700001,21.99,21.879999,28.51,48.849998,50.209999,28.99,1.06,71.150002,24.65,58.66,22.129999
30/07/2021,67.110001,37.400002,40.540001,88.75,63.59,26.08,37.330002,34.52,32.790001,25.77,49.02,50.240002,27.780001,38.34,20.09,255.559998,23.49,24.690001,48.41,73.110001,27.35,32.490002,22.16,21.799999,27.969999,48.41,49.959999,26.85,1.07,70.790001,24.35,58.27,21.969999
02/08/2021,67.760002,38.02,41.119999,88.730003,63.740002,26.07,37.25,34.59,32.900002,25.959999,48.880001,50.439999,27.969999,38.57,20.200001,260.119995,23.190001,24.57,48.759998,72.589996,26.780001,32.32,22.290001,21.860001,28.110001,48.549999,50.110001,27.02,1.1,71.529999,24.52,58.369999,22.059999
03/08/2021,68.260002,38.119999,40.810001,90.050003,64.400002,26.18,37.27,34.68,33.290001,26.17,49.84,50.68,28.200001,38.950001,20.67,256.809998,23.370001,24.799999,49.439999,73.449997,26.549999,32.59,22.52,21.9,28.9,48.709999,50.27,26.92,1.1,71.290001,24.66,58.650002,22.15
04/08/2021,67.559998,37.639999,41.360001,91.290001,65.029999,26.059999,37.189999,34.779999,33.200001,26.15,49.049999,50.450001,28.01,38.849998,20.450001,259.769989,23.65,24.559999,49.060001,72.879997,26.620001,32.540001,22.34,21.98,28.9,48.889999,50.560001,26.5,1.1,71.18,24.629999,58.509998,22.15
05/08/2021,67.959999,37.299999,40.900002,91.510002,65.269997,25.940001,37.43,34.950001,33.330002,26.34,49.189999,50.57,28.09,39.110001,20.870001,261.130005,23.66,24.65,48.639999,72.330002,26.65,32.779999,22.49,22.049999,28.5,48.860001,50.689999,26.389999,1.09,70.110001,24.719999,58.740002,22.280001
06/08/2021,67.82,37.57,40.419998,90.389999,64.690002,25.889999,37.490002,34.740002,33.240002,26.34,48.84,50.119999,28.190001,39.09,20.440001,265.790009,23.58,24.51,48.189999,71.410004,26.549999,33.009998,22.389999,21.76,28.42,48.279999,50.450001,26.379999,1.09,69.709999,24.74,59.119999,22.200001
09/08/2021,67.779999,37.450001,41.169998,90.300003,64.389999,25.99,37.369999,34.650002,33.209999,26.24,48.43,50.139999,28.07,38.959999,20.1,269.380005,23.57,24.58,47.830002,71.959999,26.5,33.080002,22.209999,21.82,28.709999,48.119999,50.639999,25.879999,1.08,69.57,24.719999,59.27,22.15
10/08/2021,67.82,37.59,41.619999,89.010002,63.779999,25.91,37.619999,34.73,33.380001,26.379999,48.759998,50.259998,28.15,39,20.24,270.380005,23.790001,24.549999,47.799999,72.18,27.24,33.16,22.450001,21.790001,28.780001,48.189999,50.799999,26.200001,1.08,69.480003,24.860001,60.16,22.209999
11/08/2021,68.660004,37.52,41.970001,88.389999,63.790001,25.969999,37.810001,34.880001,33.689999,26.51,49.310001,50.389999,28.469999,39.240002,20.379999,271.049988,23.639999,24.709999,48.689999,72.889999,27.67,33.630001,22.08,21.9,28.940001,48.639999,51.029999,26.33,1.09,68.709999,25.17,61,22.299999
12/08/2021,68.43,36.84,41.330002,87.330002,63.57,25.76,37.73,35.080002,33.540001,26.43,49.080002,50.529999,28.440001,39.299999,20.6,274.640015,23.629999,24.66,48.09,72.419998,27.74,33.689999,22.74,22.040001,28.51,48.639999,50.860001,26.549999,1.08,69.25,25.18,60.990002,22.35
13/08/2021,68.639999,36.990002,41.349998,86.349998,62.77,26,37.709999,35.34,33.720001,26.610001,49.619999,51.040001,28.57,39.560001,20.76,271.470001,23.620001,24.77,48.450001,72.419998,27.969999,33.939999,23.040001,22.25,28.26,48.970001,51.240002,26.549999,1.08,69.360001,25.299999,61.240002,22.52
16/08/2021,68.169998,36.290001,40.66,85.949997,62.439999,26.16,37.490002,35.16,33.439999,26.33,49.540001,51.150002,28.35,39.299999,20.870001,270.309998,23.59,24.76,48.43,72.470001,26.99,33.709999,23.290001,22.200001,28.280001,48.150002,50.990002,26.18,1.07,68.940002,25.120001,60.82,22.42
17/08/2021,67.599998,35.970001,39.52,83.959999,60.580002,25.870001,37.099998,34.84,33.240002,25.690001,49.5,51.099998,27.92,38.880001,20.709999,265.190002,23.18,25,47.360001,72.82,26.799999,33.130001,23.26,22.040001,28.719999,47.619999,50.41,25.57,1.07,68.32,24.719999,60.040001,22.139999
